MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Unmarried,White,Black,AmericanIndian,Asian
18140,132,0.000144169,0.004671574,89.3,32.5,52910,9.9,50.6,0.7871225,0.147169364,0.001824423,0.030325121
18580,29,0.000134708,0.004747872,78.4,19.4,43534,14.9,51.9,0.827205422,0.035891881,0.00393187,0.014434162
18700,3,7.15E-05,0.003293085,94.2,47.9,48012,7.7,54.7,0.882352242,0.010337698,0.008781102,0.050761663
18880,4,4.42E-05,0.001395187,90.7,26.8,54242,7.4,45.8,0.822365386,0.092862321,0.006870757,0.03093763
19060,3,5.95E-05,0.003699137,85.5,15.1,37327,10.3,52,0.913495519,0.060497491,0.00123006,0.005105727
19100,574,0.000184236,0.005498295,82.9,30.9,56349,10.3,47.8,0.681029497,0.147995577,0.00499296,0.051900268
19140,1,1.43E-05,0.000388199,67.1,12.7,41111,15.3,46.1,0.835935209,0.030142668,0.00406193,0.009618479
19180,4,9.58E-05,0.004145078,84.9,13.7,39456,14.6,51.4,0.830044007,0.127863177,0.000828935,0.004449429
19260,8,0.00014286,0.006410256,76,14.2,35049,14.7,49.5,0.642873174,0.329530365,0.000757477,0.004834758
19340,19,9.89E-05,0.003791658,88.6,24.4,48410,8.5,47.6,0.864050688,0.066441752,0.002760554,0.014604391
19380,31,7.13E-05,0.002874096,88.3,25,47381,10,50.6,0.80413606,0.14943348,0.001593894,0.017547064
19460,6,7.74E-05,0.002690583,79.6,17.2,43470,10.7,42.9,0.815595225,0.116779814,0.0189047,0.005478478
19500,11,0.000190691,0.006242906,86.9,20.5,44337,10.3,48.8,0.802563246,0.156251411,0.001363813,0.009637009
19660,10,3.94E-05,0.001927154,87.3,21,44400,9.4,50.3,0.832364687,0.100662631,0.002717452,0.015351182
19740,85,6.86E-05,0.002297297,88.9,37.7,60137,8.6,47.9,0.805287259,0.055437903,0.008396719,0.036014227
19780,29,0.000102732,0.003518563,91.4,32.4,57454,6.8,44.7,0.878991986,0.044860722,0.001931672,0.029409158
19820,177,7.91E-05,0.003052145,87.4,27,52409,10.7,52,0.703856991,0.22759089,0.002985059,0.033557924
20020,3,4.05E-05,0.00144023,79.4,16.4,38846,13.2,48.3,0.733376309,0.230398408,0.003510419,0.008071862
20100,7,8.61E-05,0.003089144,84.9,20,53183,9.3,49,0.697294128,0.230438828,0.004977122,0.022476708
20220,2,4.24E-05,0.001191185,89.4,25.3,48573,6.5,44.6,0.947659027,0.015257113,0.001815294,0.010772905
20260,8,5.77E-05,0.002471424,91.6,24.5,45479,8.7,48.8,0.92997697,0.013648922,0.026762522,0.008626234
20500,27,0.00010609,0.003453127,86.5,42.8,50889,10,53,0.599206154,0.269623015,0.002982551,0.043067872
20740,3,3.77E-05,0.001542416,90.4,24.9,46975,7.7,48.3,0.944034196,0.010003337,0.005174791,0.024186796
20940,4,4.92E-05,0.001429593,62.3,12.2,38685,19.6,51.7,0.692547545,0.03465594,0.016417537,0.016054555
21060,5,8.65E-05,0.002918856,86,17.7,46467,9.8,44.2,0.832831692,0.107702077,0.003818852,0.017441456
21140,6,6.03E-05,0.001857585,80,18.1,47258,10.2,45.8,0.846902542,0.055304666,0.003906429,0.011226537
21300,1,2.23E-05,0.000924214,87.6,20.9,44502,11.7,50.9,0.896153673,0.060242594,0.002840781,0.009875096
21340,50,0.000125359,0.003846154,71,19.3,36333,22.5,50.9,0.781304708,0.029164293,0.005193712,0.010533744
21500,42,0.000295375,0.011804384,89,23.3,43595,10.5,52.1,0.889178968,0.067724561,0.001346541,0.01066489
21660,2,1.13E-05,0.000449741,89.9,27.7,42923,10,52,0.892953024,0.00954038,0.012919264,0.023948888
21780,42,0.00022965,0.009069315,87.1,20.2,46284,9,46.8,0.903921271,0.060184795,0.001863124,0.008143789
21820,4,8.97E-05,0.00245098,92.9,27.1,66598,5.4,45.6,0.776469467,0.044356675,0.071834729,0.026154449
21940,0,0,0,70.2,19.9,19627,39.3,61.7,0.603691085,0.096925475,0.002055201,0.001117257
22020,3,2.98E-05,0.001041667,93.6,35,48284,6.2,50.5,0.925771344,0.018486444,0.013583194,0.018317709
22140,10,0.000155846,0.004242681,80.9,15,46189,15.9,49.9,0.54922873,0.006406989,0.372460143,0.003685783
22180,7,3.82E-05,0.001001001,87.2,21,43741,14,50.9,0.512477529,0.353562648,0.019732752,0.021208439
22220,19,8.49E-05,0.002739331,82.4,25.2,45466,10.4,44,0.838308357,0.019431092,0.014810626,0.02216657
22380,1,1.51E-05,0.000510725,87,31.1,49510,11.6,56.3,0.619591273,0.010749181,0.272287292,0.015004855
22420,18,8.02E-05,0.002931119,88.1,19,43483,14.1,53,0.749811802,0.202115671,0.005114836,0.009670849
22500,27,0.000250773,0.010957792,79.5,19.1,39886,14.6,54.5,0.563491712,0.409839852,0.00129239,0.00804918
22520,12,0.000157491,0.005665722,81.9,19.6,39460,12.7,45.2,0.851054662,0.124069818,0.005047603,0.005977785
22540,1,1.95E-05,0.000968054,88.5,18,51549,6.3,44.2,0.946174655,0.011167372,0.004320296,0.007887514
22660,14,9.54E-05,0.003643935,93.7,42.5,56447,6.9,47,0.911138816,0.007528455,0.00607909,0.01848799
22900,13,8.72E-05,0.003149988,79.9,14.6,38295,14.6,45.4,0.821382242,0.035174105,0.034966958,0.021027038
23060,27,0.000128366,0.004324151,88.7,24.4,48866,8.6,47.2,0.829345713,0.100328345,0.002380681,0.021731903
23420,70,0.00015394,0.004277421,73.1,19.7,46430,17.7,52.5,0.612354346,0.050288833,0.010206529,0.093805222
23460,8,0.000148553,0.006187162,81.2,15.8,36422,13.1,46.5,0.820988603,0.150462207,0.004093556,0.00591932
23540,7,5.23E-05,0.002697495,89,38.6,40528,12.2,61.7,0.721745296,0.189587246,0.002073353,0.049679991
23580,14,0.000160313,0.004194128,76.5,21,50876,11.3,44.2,0.830372398,0.072816727,0.003497123,0.017811327
24020,5,7.81E-05,0.003863988,87.8,22.2,50149,7.5,47.1,0.957669164,0.019604798,0.003121239,0.005931907
24140,2,3.25E-05,0.000970874,81.2,16.2,41224,13.7,49.4,0.589790345,0.317255333,0.001856755,0.010707565
24220,4,8.33E-05,0.002832861,90.5,28.8,45266,8.1,52.6,0.916580876,0.016747021,0.024055368,0.013689135
24300,5,6.97E-05,0.00243309,89.1,25.4,52067,7.9,44.5,0.896727671,0.006016137,0.011547328,0.006058306
24340,28,7.19E-05,0.002395005,88.1,26.3,49049,10.5,47.3,0.841327119,0.079067227,0.004246584,0.019127101
24500,4,9.86E-05,0.003103181,90.8,23.9,42389,10.9,44.4,0.897271667,0.013443062,0.043258608,0.00651672
24540,15,0.000123756,0.003971406,84.7,25.4,55596,9.8,43.5,0.877517912,0.007876966,0.009252244,0.013131022
