MSA,NUM,PercentbyFemale,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
33540,3,5.47E-05,94.5,39.1,46117,9.2,100.27,54.7,0.927088341,0.004090963,0.027276108,0.010803407
33660,9,4.19E-05,83.9,20.7,43028,16.1,99.57,54.7,0.605702489,0.347737592,0.007713196,0.018998616
33700,19,7.26E-05,76.4,16.4,49297,16.4,100.36,50.8,0.765066436,0.028235399,0.008186047,0.052768458
33740,23,0.000250076,84.4,21.5,38497,19.9,99.55,56.2,0.6181574,0.355428655,0.003323609,0.008119988
33780,5,6.51E-05,89.3,18,53972,9,98.91,45.4,0.946594632,0.02268044,0.003870337,0.005891366
33860,12,6.16E-05,85.4,27.1,47290,14.6,98.57,55.5,0.528377989,0.429521858,0.002857006,0.015864251
34060,2,3.13E-05,88.4,30.5,44727,10.3,99.89,58.5,0.920809087,0.034226517,0.001551279,0.024548048
34100,5,8.53E-05,80.4,14.9,39669,14.6,99,46,0.931219427,0.033368274,0.001589797,0.004096785
34580,1,1.69E-05,88.2,23.6,55925,9.3,99.98,46.3,0.876582144,0.006332826,0.016643857,0.016975374
34620,7,1.15E-04,86.9,22.5,37474,13,98.64,57,0.891711673,0.047841803,0.002126302,0.011048267
34740,13,1.50E-04,88,17.2,40979,15.8,99.22,51.9,0.806728483,0.13797012,0.006117334,0.006199132
34820,20,1.01E-04,87.2,23.4,43626,13.2,102.1,46.8,0.813992848,0.128215663,0.002881048,0.009955764
34900,6,8.68E-05,83.1,31.3,70443,7.1,99.97,48.7,0.784970654,0.021358561,0.007254946,0.071105726
34940,1,6.01E-06,85.8,31.7,55843,8.9,101.69,46.2,0.87551225,0.067542328,0.002745202,0.012537743
34980,92,1.06E-04,87.3,30.7,52481,10.5,101.02,49.9,0.780638235,0.152609857,0.002698221,0.022835036
35100,0,0,86.7,19.9,45781,11.8,99.11,46.1,0.706753043,0.221154299,0.003989007,0.01811543
35300,54,1.21E-04,88.3,32.9,61996,9.3,98.98,54.4,0.753147131,0.125617457,0.002614156,0.036442846
35380,74,1.19E-04,84.7,26.7,47341,14.2,101.06,56.9,0.584537052,0.345691795,0.004422616,0.027951464
35620,1030,1.01E-04,84.9,36.5,66285,10.9,99.98,54,0.600152509,0.172085594,0.002941439,0.100038393
35660,7,8.74E-05,87.4,24.2,43633,12.3,98.8,50,0.780753727,0.151532408,0.004043765,0.017083627
